scenarioID [],i [],V [V],wireGauge [],turns [],radius [m],wireGauge_car [],turns_car [],radius_car [m],height [m],spacing [m],velocity [m/s],totalCharge [C],cost [$],cost/charge [$/C],,best for the money,,most overall
5126,641,100,6,410,1,12,290,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13318,1665,100,6,410,1,12,290,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21510,2689,100,6,410,1,12,290,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2054,257,100,6,410,1,12,290,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10246,1281,100,6,410,1,12,290,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18438,2305,100,6,410,1,12,290,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6150,769,100,6,410,1,12,290,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14342,1793,100,6,410,1,12,290,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22534,2817,100,6,410,1,12,290,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3078,385,100,6,410,1,12,290,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11270,1409,100,6,410,1,12,290,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19462,2433,100,6,410,1,12,290,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7174,897,100,6,410,1,12,290,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15366,1921,100,6,410,1,12,290,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23558,2945,100,6,410,1,12,290,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
8,1,100,6,410,1,12,320,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8200,1025,100,6,410,1,12,320,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16392,2049,100,6,410,1,12,320,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4104,513,100,6,410,1,12,320,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12296,1537,100,6,410,1,12,320,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20488,2561,100,6,410,1,12,320,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1032,129,100,6,410,1,12,320,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9224,1153,100,6,410,1,12,320,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17416,2177,100,6,410,1,12,320,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
5128,641,100,6,410,1,12,320,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13320,1665,100,6,410,1,12,320,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21512,2689,100,6,410,1,12,320,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2056,257,100,6,410,1,12,320,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10248,1281,100,6,410,1,12,320,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18440,2305,100,6,410,1,12,320,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6152,769,100,6,410,1,12,320,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14344,1793,100,6,410,1,12,320,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22536,2817,100,6,410,1,12,320,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3080,385,100,6,410,1,12,320,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11272,1409,100,6,410,1,12,320,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19464,2433,100,6,410,1,12,320,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7176,897,100,6,410,1,12,320,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15368,1921,100,6,410,1,12,320,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23560,2945,100,6,410,1,12,320,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
257,33,100,6,410,2,8,230,1.5,0.15,0,30,1,875761.5678,875761.5678,,,,
8449,1057,100,6,410,2,8,230,1.5,0.15,0.18,30,1,838049.3472,838049.3472,,,,
16641,2081,100,6,410,2,8,230,1.5,0.15,0.36,30,1,803450.9796,803450.9796,,,,
4353,545,100,6,410,2,8,230,1.5,0.3,0,30,1,875761.5678,875761.5678,,,,
12545,1569,100,6,410,2,8,230,1.5,0.3,0.18,30,1,838049.3472,838049.3472,,,,
20737,2593,100,6,410,2,8,230,1.5,0.3,0.36,30,1,803450.9796,803450.9796,,,,
1281,161,100,6,410,2,8,230,1.7,0.15,0,30,1,875761.5678,875761.5678,,,,
9473,1185,100,6,410,2,8,230,1.7,0.15,0.18,30,1,838049.3472,838049.3472,,,,
17665,2209,100,6,410,2,8,230,1.7,0.15,0.36,30,1,803450.9796,803450.9796,,,,
5377,673,100,6,410,2,8,230,1.7,0.3,0,30,1,875761.5678,875761.5678,,,,
13569,1697,100,6,410,2,8,230,1.7,0.3,0.18,30,1,838049.3472,838049.3472,,,,
21761,2721,100,6,410,2,8,230,1.7,0.3,0.36,30,1,803450.9796,803450.9796,,,,
2305,289,100,6,410,2,8,230,1.9,0.15,0,30,1,875761.5678,875761.5678,,,,
