scenarioID,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totalCharge,cost,cost/charge
[],[V],[],[],[m],[],[],[m],[m],[m],[m/s],[C],[$],[C/$]
142,250,6,510,1,12,290,1.500000e+00,1.500000e-01,0,30,2.026929e+03,9.082841e+03,4.481085e+00,
143,250,6,510,1,8,320,1.500000e+00,1.500000e-01,0,30,5.128265e+03,9.082841e+03,1.771133e+00,
144,250,6,510,1,12,320,1.500000e+00,1.500000e-01,0,30,2.027582e+03,9.082841e+03,4.479641e+00,
617,250,8,460,3,8,230,1.500000e+00,1.500000e-01,0,30,9.644235e+02,2.111527e+03,2.189419e+00,
618,250,8,460,3,12,230,1.500000e+00,1.500000e-01,0,30,3.813079e+02,2.111527e+03,5.537591e+00,
619,250,8,460,3,8,260,1.500000e+00,1.500000e-01,0,30,9.649054e+02,2.111527e+03,2.188326e+00,
620,250,8,460,3,12,260,1.500000e+00,1.500000e-01,0,30,3.814984e+02,2.111527e+03,5.534825e+00,
621,250,8,460,3,8,290,1.500000e+00,1.500000e-01,0,30,9.652880e+02,2.111527e+03,2.187458e+00,
622,250,8,460,3,12,290,1.500000e+00,1.500000e-01,0,30,3.816497e+02,2.111527e+03,5.532632e+00,
623,250,8,460,3,8,320,1.500000e+00,1.500000e-01,0,30,9.655991e+02,2.111527e+03,2.186753e+00,
624,250,8,460,3,12,320,1.500000e+00,1.500000e-01,0,30,3.817727e+02,2.111527e+03,5.530849e+00,
145,450,6,510,1,8,230,1.500000e+00,1.500000e-01,0,30,9.219639e+03,2.942841e+04,3.191926e+00,
146,450,6,510,1,12,230,1.500000e+00,1.500000e-01,0,30,3.645205e+03,2.942841e+04,8.073184e+00,
147,450,6,510,1,8,260,1.500000e+00,1.500000e-01,0,30,9.224246e+03,2.942841e+04,3.190332e+00,
148,450,6,510,1,12,260,1.500000e+00,1.500000e-01,0,30,3.647026e+03,2.942841e+04,8.069151e+00,
149,450,6,510,1,8,290,1.500000e+00,1.500000e-01,0,30,9.227904e+03,2.942841e+04,3.189067e+00,
150,450,6,510,1,12,290,1.500000e+00,1.500000e-01,0,30,3.648472e+03,2.942841e+04,8.065953e+00,
151,450,6,510,1,8,320,1.500000e+00,1.500000e-01,0,30,9.230878e+03,2.942841e+04,3.188040e+00,
152,450,6,510,1,12,320,1.500000e+00,1.500000e-01,0,30,3.649648e+03,2.942841e+04,8.063354e+00,
153,600,6,510,1,8,230,1.500000e+00,1.500000e-01,0,30,1.229285e+04,5.231717e+04,4.255902e+00,
154,600,6,510,1,12,230,1.500000e+00,1.500000e-01,0,30,4.860273e+03,5.231717e+04,1.076424e+01,
155,600,6,510,1,8,260,1.500000e+00,1.500000e-01,0,30,1.229900e+04,5.231717e+04,4.253776e+00,
156,600,6,510,1,12,260,1.500000e+00,1.500000e-01,0,30,4.862702e+03,5.231717e+04,1.075887e+01,
157,600,6,510,1,8,290,1.500000e+00,1.500000e-01,0,30,1.230387e+04,5.231717e+04,4.252090e+00,
158,600,6,510,1,12,290,1.500000e+00,1.500000e-01,0,30,4.864630e+03,5.231717e+04,1.075460e+01,
159,600,6,510,1,8,320,1.500000e+00,1.500000e-01,0,30,1.230784e+04,5.231717e+04,4.250720e+00,
160,600,6,510,1,12,320,1.500000e+00,1.500000e-01,0,30,4.866198e+03,5.231717e+04,1.075114e+01,
161,100,8,510,1,8,230,1.500000e+00,1.500000e-01,0,30,1.289073e+03,9.143615e+02,7.093169e-01,
162,100,8,510,1,12,230,1.500000e+00,1.500000e-01,0,30,5.096660e+02,9.143615e+02,1.794041e+00,
163,100,8,510,1,8,260,1.500000e+00,1.500000e-01,0,30,1.289718e+03,9.143615e+02,7.089626e-01,
164,100,8,510,1,12,260,1.500000e+00,1.500000e-01,0,30,5.099207e+02,9.143615e+02,1.793145e+00,
165,100,8,510,1,8,290,1.500000e+00,1.500000e-01,0,30,1.290229e+03,9.143615e+02,7.086816e-01,
166,100,8,510,1,12,290,1.500000e+00,1.500000e-01,0,30,5.101228e+02,9.143615e+02,1.792434e+00,
167,100,8,510,1,8,320,1.500000e+00,1.500000e-01,0,30,1.290645e+03,9.143615e+02,7.084533e-01,
168,100,8,510,1,12,320,1.500000e+00,1.500000e-01,0,30,5.102872e+02,9.143615e+02,1.791857e+00,
169,250,8,510,1,8,230,1.500000e+00,1.500000e-01,0,30,3.222683e+03,5.714760e+03,1.773292e+00,
170,250,8,510,1,12,230,1.500000e+00,1.500000e-01,0,30,1.274165e+03,5.714760e+03,4.485102e+00,
